episode,robot_pos,target_pos,step
1288,"[193.98569139852535, 326.1535393886532, 56.0]","[196, 316]",377
1289,"[370.52123783336407, 491.6282603047351, 226.0]","[370, 502]",604
1290,"[305.3576756966183, 458.7261523791725, 310.0]","[295, 459]",656
1291,"[95.29262571549705, 427.5366300842494, 342.0]","[86, 423]",692
1292,"[585.7723097651555, 133.2558670310794, 138.0]","[596, 134]",1176
1293,"[709.7003609043245, 409.6781161400461, 214.0]","[711, 420]",584
1294,"[738.9895548173243, 507.6218300081265, 204.0]","[743, 517]",131
1295,"[96.68341265161645, 199.89268594938534, 336.0]","[87, 196]",53
1296,"[183.67287036260606, 243.79334878423367, 2.0]","[177, 236]",914
1297,"[553.8622384671461, 97.72067309492293, 340.0]","[545, 93]",319
1298,"[326.63043705108447, 522.0472196053203, 216.0]","[328, 532]",679
1299,"[219.45190441820046, 92.46026848684474, 14.0]","[214, 84]",594
1300,"[554.534257193001, 294.41835491279693, 190.0]","[560, 303]",1044
1301,"[650.2408848750107, 486.75514504966884, 276.0]","[642, 493]",979
1302,"[489.5937095217127, 375.8299873755084, 270.0]","[482, 383]",180
1303,"[227.71432773609476, 372.5762476010302, 348.0]","[219, 367]",349
1304,"[139.34626026758713, 452.64812288356364, 306.0]","[129, 454]",818
1305,"[649.596206797462, 353.87498002029497, 170.0]","[658, 360]",960
1306,"[630.4175189974127, 403.3083640392113, 258.0]","[625, 412]",610
1307,"[462.4114454201611, 208.82706003954388, 152.0]","[472, 212]",1045
1308,"[484.5569102312106, 475.53341869073546, 294.0]","[475, 479]",556
1309,"[489.39113805370226, 143.0636394397824, 210.0]","[492, 153]",320
1310,"[196.54105765169473, 165.00358920659883, 82.0]","[203, 157]",746
1311,"[200.35670091888818, 213.4127406966236, 66.0]","[204, 204]",588
1312,"[514.7919206817105, 529.8448172029705, 304.0]","[505, 532]",593
1313,"[688.9292215485706, 221.2138981111214, 144.0]","[699, 223]",425
1314,"[657.0207645162703, 540.4864934119805, 276.0]","[649, 547]",687
1315,"[489.74911396353764, 430.8292321077254, 184.0]","[496, 439]",935
1316,"[513.0878426277989, 445.8526827171271, 232.0]","[512, 456]",1269
1317,"[529.4034825337121, 386.8020982051401, 218.0]","[531, 397]",1188
1318,"[592.5656776928453, 171.00835639538388, 160.0]","[602, 175]",517
1319,"[365.37857428211777, 302.26118001855644, 340.0]","[356, 298]",833
1320,"[503.6263857321602, 487.9022014277465, 250.0]","[499, 497]",1034
1321,"[628.3973013064216, 525.0429221186458, 272.0]","[621, 532]",999
1322,"[92.68107554825819, 215.8439425688318, 14.0]","[88, 207]",928
1323,"[693.1778545324322, 216.8818811615518, 196.0]","[698, 226]",689
1324,"[318.30411598514513, 496.93344637845263, 224.0]","[318, 507]",229
1325,"[317.9262332763791, 126.66300013445799, 78.0]","[323, 118]",458
1326,"[648.0336062205903, 136.46560405487904, 174.0]","[656, 143]",704
1327,"[275.957801557308, 337.1698202344715, 298.0]","[266, 340]",428
1328,"[502.9355023585625, 236.7228826091442, 198.0]","[507, 246]",796
1329,"[404.08726898475373, 248.71816608625608, 24.0]","[401, 239]",299
1330,"[69.20625486322459, 511.3284313073947, 338.0]","[60, 507]",338
1331,"[62.32164903430061, 160.76906693654652, 252.0]","[58, 170]",163
1332,"[104.47957969190085, 493.9425548012071, 272.0]","[97, 501]",419
1333,"[391.6392000054691, 240.39021024738054, 10.0]","[386, 232]",40
1334,"[127.31587289871823, 219.93826335473562, 336.0]","[118, 216]",753
1335,"[690.2615161258395, 281.1341533979425, 278.0]","[682, 287]",278
1336,"[280.0786324643855, 323.0750978842555, 206.0]","[283, 333]",256
1337,"[81.24561228120467, 212.8753525542546, 310.0]","[71, 214]",260
1338,"[125.41163011609787, 300.1041141024613, 58.0]","[128, 290]",122
1339,"[449.0409111822709, 61.479100147417, 86.0]","[456, 54]",404
1340,"[180.00606079913243, 207.55391700741956, 320.0]","[170, 207]",525
1341,"[530.538513055887, 324.7436521648685, 56.0]","[533, 315]",605
1342,"[567.0289283001189, 156.5565083799865, 160.0]","[576, 161]",1033
1343,"[688.859510937765, 344.59944757237713, 218.0]","[690, 355]",588
1344,"[653.4120192526929, 97.65574861900735, 198.0]","[658, 107]",104
1345,"[677.8982038166465, 429.0158827207968, 216.0]","[679, 439]",359
1346,"[424.95269428131377, 67.32949303493083, 88.0]","[432, 60]",249
1347,"[585.5867600051412, 238.31088368813823, 40.0]","[585, 228]",369
1348,"[704.5188599506857, 258.5823226218161, 220.0]","[705, 269]",629
1349,"[141.78273894286227, 346.21051502767335, 342.0]","[133, 341]",854
1350,"[279.9630830082259, 405.95499137707696, 252.0]","[275, 415]",875
1351,"[372.4100468097264, 316.9768805188781, 352.0]","[364, 311]",603
1352,"[334.4783453904932, 523.5175300036303, 286.0]","[325, 528]",992
1353,"[513.230164479599, 188.09797535696165, 150.0]","[523, 191]",988
1354,"[649.4133769692661, 483.36339713304926, 40.0]","[649, 473]",181
1355,"[178.55198998574463, 343.8799764437709, 28.0]","[176, 334]",1113
1356,"[304.0200019813362, 89.00078636202078, 354.0]","[296, 83]",278
1357,"[674.6569315250235, 478.7762229565497, 220.0]","[676, 489]",609
1358,"[702.8334509244802, 359.9618724383554, 214.0]","[705, 370]",1412
1359,"[314.999837518233, 151.92901589572423, 58.0]","[317, 142]",1146
1360,"[647.1607947871241, 78.85309372502735, 126.0]","[657, 77]",750
1361,"[279.8164655150793, 247.2145004731014, 8.0]","[274, 239]",59
1362,"[233.3971633090005, 189.08947355447182, 0.0]","[226, 182]",837
1363,"[277.9985954522342, 369.0948703526285, 310.0]","[268, 370]",464
1364,"[125.81177222408917, 229.7092406351049, 64.0]","[129, 220]",729
1365,"[140.69283497292318, 139.11967187884852, 82.0]","[147, 131]",480
1366,"[190.00451388498513, 110.87638141905622, 56.0]","[192, 101]",565
1367,"[433.6267363354786, 149.80370520298277, 74.0]","[439, 141]",930
1368,"[70.13370740752222, 477.67589783601176, 2.0]","[63, 470]",760
1369,"[194.55019374906516, 118.25305083250268, 358.0]","[187, 111]",1056
1370,"[533.2504905719493, 260.41180841683337, 148.0]","[543, 263]",1059
1371,"[615.7161474154184, 183.20279895257033, 160.0]","[625, 188]",907
1372,"[137.19535474557685, 395.3162829377352, 342.0]","[128, 391]",404
1373,"[355.8972537831816, 164.39652117505926, 44.0]","[356, 154]",207
1374,"[632.8610848347505, 193.575281772685, 202.0]","[637, 203]",1376
1375,"[298.02594336341303, 497.29425685950935, 252.0]","[293, 506]",431
1376,"[408.94589126134935, 338.1655917177757, 140.0]","[419, 339]",703
1377,"[138.6666457915618, 273.7128549736853, 358.0]","[131, 267]",808
1378,"[689.157579360688, 323.6947716383638, 120.0]","[699, 321]",493
1379,"[650.9233111709273, 270.1948042654391, 160.0]","[660, 275]",1059
1380,"[93.57141917730253, 527.7858975570576, 348.0]","[85, 522]",727
1381,"[362.14503189349824, 322.8035996032641, 212.0]","[364, 333]",209
1382,"[344.3537474440673, 358.8010345919081, 214.0]","[346, 369]",756
1383,"[275.9109107434584, 274.0717362927703, 6.0]","[270, 266]",706
1384,"[499.66844816096835, 457.88324216293836, 178.0]","[507, 465]",348
1385,"[461.8335172877013, 358.3068644223857, 256.0]","[456, 367]",695
1386,"[109.33722496814376, 373.21596583085596, 18.0]","[105, 364]",750
1387,"[63.91080927513969, 382.45008219113816, 326.0]","[54, 380]",598
1388,"[406.74512184013383, 387.2814921457657, 246.0]","[403, 397]",216
1389,"[94.5691646396284, 59.66719780920309, 22.0]","[91, 50]",236
1390,"[334.56187119132545, 229.62373832728784, 342.0]","[329, 238]",10
1391,"[310.12422252217874, 529.2186536349641, 236.0]","[308, 539]",297
1392,"[132.30261756630327, 83.43035589747554, 102.0]","[141, 78]",894
1393,"[313.2102511562452, 189.08113770821308, 42.0]","[313, 179]",832
1394,"[563.3761690823261, 515.1892958052695, 290.0]","[554, 519]",778
1395,"[669.617461538262, 373.99977225408765, 230.0]","[669, 384]",208
1396,"[298.04262849090924, 269.0516126628835, 6.0]","[292, 261]",212
1397,"[593.2817806778746, 79.86275642786254, 154.0]","[603, 83]",598
1398,"[247.74221354286084, 145.56529947858195, 358.0]","[240, 139]",1038
1399,"[179.54602483500486, 358.8925186556361, 28.0]","[177, 349]",1279
1400,"[486.77358761652266, 474.7983803076624, 262.0]","[481, 483]",440
1401,"[483.9182125451155, 210.82144065554672, 188.0]","[490, 219]",995
1402,"[677.7163925846017, 331.0882563012326, 194.0]","[683, 340]",1048
1403,"[309.8253039176984, 465.95611638714473, 300.0]","[300, 469]",301
1404,"[376.8582906761734, 210.10810771628132, 42.0]","[376, 200]",884
1405,"[58.9772748172398, 150.66161420489115, 20.0]","[55, 141]",1309
1406,"[547.50206055686, 125.71850536803204, 152.0]","[557, 129]",1009
1407,"[496.98502899457014, 228.70866510290594, 86.0]","[504, 221]",408
1408,"[637.4903822083388, 256.2740437886618, 212.0]","[640, 266]",863
1409,"[298.0389598969422, 357.25763286526, 284.0]","[289, 362]",273
1410,"[312.35803197771037, 324.52174926468837, 306.0]","[302, 326]",330
1411,"[670.8665165432553, 328.15434586801086, 272.0]","[663, 335]",619
1412,"[449.7175193027761, 406.69459500597947, 250.0]","[445, 416]",486
1413,"[137.0784184759081, 137.6620208493773, 224.0]","[137, 148]",223
1414,"[696.9290243180211, 54.42721168164544, 120.0]","[707, 52]",479
1415,"[218.07886809261268, 357.64610253383853, 342.0]","[209, 353]",1348
1416,"[344.03340059802315, 468.34421152047196, 200.0]","[348, 478]",203
1417,"[647.6949150456172, 433.2120153932993, 210.0]","[650, 443]",424
1418,"[200.61399272173588, 523.001567625701, 270.0]","[193, 530]",520
1419,"[626.5822238439818, 158.53594800750295, 158.0]","[636, 163]",1420
1420,"[293.95609756405486, 506.9088135160637, 304.0]","[284, 509]",1171
1421,"[477.5405852411676, 455.2028984893178, 264.0]","[471, 463]",803
1422,"[286.2574252634423, 468.7808716475667, 192.0]","[292, 477]",123
1423,"[473.2841753059087, 440.30256287161416, 152.0]","[483, 443]",483
1424,"[146.9328539832621, 422.33871007564153, 304.0]","[137, 424]",909
1425,"[222.78113573096584, 402.19762054652637, 36.0]","[221, 392]",339
1426,"[681.6235482380843, 331.420740576844, 158.0]","[691, 335]",620
1427,"[297.48839471850215, 84.71610255924993, 76.0]","[303, 76]",531
1428,"[533.5382725801659, 268.0741458744518, 172.0]","[542, 274]",1109
1429,"[517.1684105460259, 314.84728626313284, 146.0]","[527, 317]",232
1430,"[167.7307679142613, 101.56612372617742, 12.0]","[162, 93]",1343
1431,"[473.9231775195936, 324.90290252869744, 188.0]","[480, 333]",865
1432,"[472.20394146679143, 403.5030706754465, 266.0]","[465, 411]",704
1433,"[529.6096692859667, 369.30365053121477, 244.0]","[526, 379]",819
1434,"[207.13953876612686, 129.3013872635131, 52.0]","[209, 119]",875
1435,"[92.55094700595696, 227.35680627740314, 136.0]","[103, 228]",115
1436,"[446.89637195386297, 124.4089234253901, 134.0]","[457, 124]",140
1437,"[725.0163377979102, 67.44885767200553, 110.0]","[734, 63]",754
1438,"[226.01083163842594, 110.05631435458693, 116.0]","[236, 107]",683
1439,"[375.71401126362315, 135.7762088533353, 122.0]","[386, 134]",1020
1440,"[604.4623081825492, 349.89176472380416, 230.0]","[604, 360]",1024
1441,"[309.3622126963771, 168.93599205287964, 56.0]","[312, 159]",289
1442,"[366.904688920163, 310.0508480945942, 144.0]","[377, 312]",533
1443,"[500.5509224487103, 86.75431411495114, 130.0]","[511, 86]",924
1444,"[618.7727648609284, 252.55539615009107, 74.0]","[624, 244]",62
1445,"[714.7563723149982, 495.12676099279736, 122.0]","[725, 493]",78
1446,"[190.8069374149898, 145.0571784496666, 54.0]","[193, 135]",946
1447,"[182.64882641071583, 70.14606212495889, 28.0]","[180, 60]",217
1448,"[110.28713718784114, 112.18141782486839, 348.0]","[102, 106]",175
1449,"[466.8833950742709, 369.72684435384724, 144.0]","[477, 371]",491
1450,"[326.4136848206408, 421.4963223190055, 346.0]","[318, 416]",914
1451,"[271.9848746541057, 256.94109071559916, 282.0]","[263, 262]",380
1452,"[291.1203181633443, 493.1044834954165, 322.0]","[281, 492]",526
1453,"[428.29624248178123, 357.11442508988125, 216.0]","[430, 367]",599
1454,"[493.84338398013824, 418.6076440813693, 258.0]","[488, 427]",260
1455,"[734.0037076643914, 87.15597062047749, 150.0]","[744, 90]",158
1456,"[321.5171700159683, 408.9043596945814, 224.0]","[321, 419]",343
1457,"[342.6961145602039, 148.3431394910507, 82.0]","[349, 140]",840
1458,"[743.7179829109189, 444.20562794552916, 192.0]","[749, 453]",827
1459,"[87.44743850185931, 184.3280446378195, 70.0]","[92, 175]",926
1460,"[449.1719420536926, 257.7419733229182, 186.0]","[455, 266]",348
1461,"[689.2799010120381, 301.0379848926245, 176.0]","[697, 308]",1353
1462,"[353.3342429177931, 313.33965792155374, 22.0]","[349, 304]",900
1463,"[267.31377746387426, 487.49083262238327, 320.0]","[257, 486]",373
1464,"[192.39933148931945, 473.6453037977807, 316.0]","[182, 473]",1147
1465,"[81.0831887825718, 170.23905668395702, 52.0]","[82, 160]",1051
1466,"[346.5430717837133, 538.713734579379, 350.0]","[338, 533]",454
1467,"[607.0223895501837, 286.8059866511768, 30.0]","[605, 277]",156
1468,"[215.2666744763645, 209.69984944268305, 14.0]","[210, 201]",1226
1469,"[337.6247931810962, 496.06619553751864, 330.0]","[328, 493]",694
1470,"[368.0056741589562, 101.68669835277505, 282.0]","[359, 107]",144
1471,"[111.48476506189954, 463.5906802111582, 24.0]","[108, 454]",279
1472,"[391.684896717823, 435.57877962306577, 282.0]","[383, 441]",854
1473,"[92.70012273700067, 386.66460920468325, 10.0]","[87, 378]",1524
1474,"[248.35583373290424, 243.5507422618152, 320.0]","[238, 242]",357
1475,"[664.6211020048119, 488.6845958415093, 332.0]","[655, 485]",123
1476,"[225.87903948522876, 108.55789590410855, 62.0]","[229, 99]",1250
1477,"[394.11481763119554, 347.0543452482714, 308.0]","[384, 348]",487
1478,"[565.5895570770605, 162.9212426439496, 74.0]","[571, 154]",758
1479,"[441.9038789662717, 216.4945090765143, 276.0]","[434, 223]",267
1480,"[496.4818701297491, 176.5749908367766, 64.0]","[500, 167]",367
1481,"[101.65622557005533, 296.9776191448819, 356.0]","[94, 290]",1461
1482,"[388.40510785240076, 279.86821678378396, 82.0]","[395, 272]",506
1483,"[547.0987761717471, 404.16081385900065, 254.0]","[542, 413]",556
1484,"[633.2753323161289, 349.72774186171034, 188.0]","[639, 358]",179
1485,"[433.1104854968493, 308.52122018685196, 200.0]","[437, 318]",163
1486,"[368.65401780039707, 457.16010190390244, 332.0]","[359, 454]",737
1487,"[166.38015772881883, 239.33056407936368, 18.0]","[162, 230]",812
1488,"[723.836674611692, 326.1622831161248, 172.0]","[732, 332]",1233
1489,"[71.65673700983072, 242.34380737715395, 20.0]","[68, 233]",821
1490,"[289.6386036212639, 433.3263741508809, 296.0]","[280, 437]",873
1491,"[606.0069847468891, 489.3226568674184, 208.0]","[609, 499]",1249
1492,"[565.4695959444854, 92.64377147361164, 78.0]","[571, 84]",724
1493,"[391.33234561952145, 343.543640081468, 182.0]","[398, 351]",746
1494,"[571.9686983274097, 196.11869800201538, 346.0]","[563, 191]",418
1495,"[368.41736652883355, 155.048118575348, 4.0]","[362, 147]",691
1496,"[270.2914626945946, 384.90521913328905, 232.0]","[269, 395]",611
1497,"[187.06139822959324, 359.7859188851764, 316.0]","[177, 359]",573
1498,"[719.9998844901813, 361.9819305338328, 214.0]","[722, 372]",1034
1499,"[472.9469331360509, 537.0034461995986, 342.0]","[464, 532]",236
1500,"[720.6423245354763, 468.2600547588853, 204.0]","[724, 478]",1259
1501,"[408.69784213543625, 84.9139923304014, 60.0]","[411, 75]",277
1502,"[79.07727953310786, 369.59745348440947, 310.0]","[69, 370]",854
1503,"[268.25827164607625, 281.1773909010536, 302.0]","[258, 283]",634
1504,"[628.2247725051986, 179.63968655190308, 96.0]","[636, 173]",49
1505,"[547.4928213147027, 172.020976747451, 54.0]","[549, 162]",684
1506,"[744.8236120280106, 257.2042322267734, 208.0]","[748, 267]",459
1507,"[635.8394083526839, 368.3517312363412, 196.0]","[641, 377]",1075
1508,"[695.7741952433139, 291.45283765756994, 200.0]","[700, 301]",937
1509,"[56.106056782729716, 338.45001838484706, 46.0]","[57, 328]",614
1510,"[203.658911361552, 68.2195301208703, 88.0]","[211, 61]",833
1511,"[686.6422534235546, 323.29999303945436, 206.0]","[690, 333]",1142
1512,"[265.33887923025225, 322.8224892262482, 316.0]","[255, 322]",467
1513,"[323.67132962270324, 488.6982490115722, 356.0]","[316, 482]",517
1514,"[196.35110385314852, 513.4893889950011, 320.0]","[186, 512]",1209
1515,"[388.58410420411593, 130.11948932695097, 90.0]","[396, 123]",754
1516,"[256.1206101926071, 158.62970400216855, 122.0]","[266, 157]",726
1517,"[83.27015311314348, 206.0735171961088, 0.0]","[76, 199]",1087
1518,"[61.448465380084826, 59.28985095683946, 72.0]","[66, 50]",391
1519,"[536.0828503640605, 87.82313406760741, 144.0]","[546, 90]",409
1520,"[340.1151764045126, 190.7840282349832, 76.0]","[345, 182]",641
1521,"[121.74742406601561, 458.4077378862505, 40.0]","[121, 448]",149
1522,"[318.2052135864981, 423.711877281572, 96.0]","[326, 417]",129
1523,"[411.2094339829992, 388.5505871392224, 288.0]","[402, 393]",179
1524,"[723.2638800721014, 210.6686839872603, 204.0]","[727, 220]",1077
1525,"[439.82910872152075, 114.0351399659838, 58.0]","[442, 104]",714
1526,"[721.7108136077178, 433.66712622912553, 216.0]","[723, 444]",543
1527,"[275.55972478279284, 182.2709942759038, 50.0]","[276, 172]",1096
1528,"[486.9393223477437, 342.88645722474985, 304.0]","[477, 345]",655
1529,"[514.5630788251817, 451.2742922915782, 238.0]","[512, 461]",1034
1530,"[587.0100975622879, 393.2904351308411, 196.0]","[592, 402]",513
1531,"[550.8979694969703, 76.64741525166295, 162.0]","[560, 81]",268
1532,"[584.5449450708828, 270.3597528343957, 138.0]","[591, 278]",70
1533,"[466.0340820397359, 81.90833001649312, 14.0]","[461, 73]",522
1534,"[221.38659699464978, 193.68504315958154, 12.0]","[216, 185]",1161
1535,"[474.92578610287336, 522.678751131923, 284.0]","[466, 528]",781
1536,"[136.83032851319433, 193.41517482456325, 112.0]","[146, 189]",477
1537,"[696.7388434250772, 539.8781030984428, 226.0]","[696, 550]",1354
1538,"[487.39003378431903, 365.7231792716632, 318.0]","[477, 365]",192
1539,"[517.9528783590638, 538.5188018012515, 304.0]","[508, 540]",1039
1540,"[590.9609670892589, 502.45797547483846, 184.0]","[598, 510]",899
1541,"[360.90380279883846, 504.951973960511, 344.0]","[352, 500]",965
1542,"[163.68588562971027, 509.658334963276, 262.0]","[158, 518]",888
1543,"[406.14493166485204, 330.2819629231737, 98.0]","[414, 324]",184
1544,"[156.07941238258098, 455.6013822519297, 340.0]","[147, 451]",991
1545,"[673.682464382866, 240.93752743947292, 132.0]","[684, 241]",419
1546,"[205.5874932096888, 79.58407506638792, 66.0]","[209, 70]",856
1547,"[591.8898888625497, 139.26239028787722, 90.0]","[599, 132]",524
1548,"[90.83184467559795, 198.22517122492746, 44.0]","[91, 188]",1439
1549,"[726.1846422370611, 373.1587022796426, 216.0]","[728, 383]",1365
1550,"[440.68685628795976, 516.563871817261, 350.0]","[432, 511]",654
1551,"[530.9780408246286, 458.7853158459606, 198.0]","[535, 468]",970
1552,"[335.50284358395766, 273.1015816149803, 336.0]","[326, 269]",781
1553,"[294.966071881094, 241.98376351679667, 132.0]","[305, 242]",211
1554,"[116.3591383155643, 493.38398337800027, 282.0]","[108, 499]",64
1555,"[465.33506896082275, 251.60524665193435, 118.0]","[475, 249]",664
1556,"[239.77341387407134, 320.7675642686099, 294.0]","[230, 324]",620
1557,"[147.9342320442936, 462.93804625395256, 324.0]","[138, 461]",835
1558,"[735.3290393365206, 232.44916123710286, 164.0]","[744, 238]",983
1559,"[603.7167275071641, 272.53627255177076, 162.0]","[613, 277]",424
1560,"[211.92512298651536, 461.4877085468652, 172.0]","[220, 468]",217
1561,"[668.5305091087633, 152.00806791022782, 188.0]","[675, 160]",581
1562,"[158.3294502991676, 247.8175407491907, 336.0]","[149, 244]",735
1563,"[599.7363041060031, 344.0026699400752, 170.0]","[608, 350]",1362
1564,"[236.41373749698366, 236.25110194927782, 342.0]","[227, 232]",864
1565,"[306.9106485611474, 308.71156942312643, 12.0]","[302, 300]",515
1566,"[587.9402931324292, 375.7192887571374, 282.0]","[579, 381]",520
1567,"[369.96710940679685, 461.93045777390245, 284.0]","[361, 467]",941
1568,"[516.4765494551117, 145.11990609518975, 166.0]","[525, 151]",414
1569,"[720.2046239739083, 538.7614234722158, 226.0]","[720, 549]",438
1570,"[321.8534077684888, 321.3382947737469, 144.0]","[332, 323]",677
1571,"[429.08863213143576, 430.97240988065823, 286.0]","[420, 436]",588
1572,"[154.88631563181573, 246.80380598618964, 2.0]","[148, 239]",1252
1573,"[347.4647034143698, 528.5279590259329, 348.0]","[339, 523]",267
1574,"[224.98142052179523, 117.62814226333819, 108.0]","[234, 113]",1005
1575,"[447.44674893757076, 488.53946778935995, 288.0]","[438, 493]",467
1576,"[202.71943064994954, 393.80140124108715, 348.0]","[194, 388]",29
1577,"[628.0506138231175, 84.7923690923749, 138.0]","[638, 86]",658
1578,"[649.6376374624039, 399.62912374117604, 180.0]","[657, 407]",707
1579,"[139.52512209928514, 250.82918964632472, 28.0]","[137, 241]",1139
1580,"[150.76311178270961, 345.1125840274601, 252.0]","[146, 354]",331
1581,"[116.55519558938684, 236.7369690602634, 66.0]","[120, 227]",666
1582,"[709.6031010524187, 283.29905206793416, 202.0]","[713, 293]",682
1583,"[490.7662757290943, 514.0020039311669, 192.0]","[496, 523]",987
1584,"[502.31658847944743, 456.15613863140715, 0.0]","[495, 449]",523
1585,"[393.1199317998482, 179.91359260473496, 152.0]","[403, 183]",355
1586,"[155.93211449715741, 383.42464458149595, 352.0]","[148, 377]",1271
1587,"[673.0232689081264, 143.68243343179216, 170.0]","[681, 150]",1438
1588,"[127.53784469198678, 181.1372706367635, 40.0]","[127, 171]",1003
1589,"[669.8409125340085, 329.4871320502789, 258.0]","[664, 338]",438
1590,"[747.5522778902914, 431.9555966892511, 226.0]","[747, 442]",1380
1591,"[714.3562012721975, 78.29502168569617, 174.0]","[722, 85]",1498
1592,"[559.2369520177743, 403.6913609257701, 228.0]","[559, 414]",981
1593,"[219.25566260129528, 155.96484411178957, 56.0]","[221, 146]",1223
1594,"[278.97443889815634, 318.0609193375936, 192.0]","[284, 327]",241
1595,"[557.3156239375891, 313.02018034054623, 212.0]","[559, 323]",959
1596,"[226.5161225818836, 275.56324912461173, 204.0]","[230, 285]",431
1597,"[297.05942883084776, 96.95377036085769, 40.0]","[296, 87]",583
1598,"[299.49379775022703, 190.697115589738, 248.0]","[295, 200]",213
1599,"[477.2045074848872, 341.5627881962708, 26.0]","[474, 332]",492
1600,"[352.7807615155788, 103.24095804707122, 84.0]","[359, 95]",947
1601,"[669.7575472018575, 462.7428373555102, 182.0]","[677, 470]",1186
1602,"[237.16906506030983, 279.8789488464623, 350.0]","[229, 274]",546
1603,"[455.0511859696378, 268.65524814171437, 150.0]","[465, 271]",1008
1604,"[590.4563868222327, 404.2761194091008, 50.0]","[591, 394]",298
1605,"[623.912776200277, 156.19350757787785, 86.0]","[631, 149]",864
1606,"[709.0968377015292, 321.5628751480755, 142.0]","[719, 323]",712
1607,"[272.7796506126964, 155.18087506214445, 50.0]","[274, 145]",1194
1608,"[258.92509473906404, 289.3015331595219, 22.0]","[255, 280]",1116
1609,"[315.963996551519, 238.0919941174746, 162.0]","[325, 243]",612
1610,"[124.23336682010327, 317.6847677627151, 322.0]","[114, 316]",680
1611,"[689.0250207774446, 385.7379535738685, 190.0]","[695, 394]",630
1612,"[302.9584484999146, 161.29927370408421, 6.0]","[297, 153]",164
1613,"[274.1511852842402, 331.18952039323693, 30.0]","[272, 321]",360
1614,"[630.8878357771665, 228.1439877734682, 136.0]","[641, 228]",319
1615,"[432.0066807481692, 293.1998024176181, 192.0]","[437, 302]",449
1616,"[345.40777345881077, 223.96663328973315, 62.0]","[348, 214]",812
1617,"[670.9706666475233, 94.40306085613305, 184.0]","[678, 102]",449
1618,"[624.6801912181528, 290.69401275873236, 172.0]","[633, 297]",207
1619,"[442.07755496459725, 290.8648636706793, 146.0]","[452, 293]",848
1620,"[295.2744144307879, 376.5495952388544, 20.0]","[291, 367]",533
1621,"[619.5853907277286, 273.9925242393529, 156.0]","[629, 278]",547
1622,"[211.91389434540446, 78.76989645750459, 74.0]","[217, 70]",364
1623,"[651.8472668570095, 323.68858138443, 130.0]","[662, 323]",260
1624,"[638.9139619998314, 89.17346668155423, 138.0]","[649, 90]",1120
1625,"[163.88223879577473, 474.3128469850887, 286.0]","[155, 479]",812
1626,"[222.5374769313923, 332.49201499263194, 26.0]","[219, 323]",856
1627,"[570.6517946342613, 103.05175756297933, 46.0]","[571, 93]",428
1628,"[487.05234026528785, 403.8358037823704, 300.0]","[477, 406]",209
1629,"[605.0758339483973, 533.5895026312031, 218.0]","[606, 544]",1388
1630,"[184.98629943984295, 202.49617565162708, 8.0]","[179, 194]",1285
1631,"[312.1565837334413, 78.03622758706697, 116.0]","[322, 75]",465
1632,"[547.3553620299034, 68.8008570064006, 152.0]","[557, 72]",1311
1633,"[190.69413386626374, 119.30900974561271, 112.0]","[200, 115]",841
1634,"[665.2871704733043, 187.53369294263888, 172.0]","[673, 194]",909
1635,"[452.13025919839254, 539.3360657545699, 306.0]","[442, 541]",994
1636,"[220.75232490965067, 525.1855119399131, 206.0]","[224, 535]",130
1637,"[123.36921428382134, 150.7235099158714, 60.0]","[126, 141]",843
1638,"[337.44730640960057, 283.1543777940361, 314.0]","[327, 283]",702
1639,"[702.7302526575944, 442.53727350176183, 204.0]","[706, 452]",165
1640,"[479.2860296873625, 331.88285506828464, 224.0]","[479, 342]",975
1641,"[204.35185507917774, 497.0673752948802, 8.0]","[198, 489]",221
1642,"[698.9095521761884, 438.02790535107044, 204.0]","[702, 448]",1377
1643,"[433.45243795072423, 213.8282470023208, 248.0]","[429, 223]",163
1644,"[324.8111051647103, 313.9024393373483, 54.0]","[327, 304]",508
1645,"[598.6716356551146, 120.04743292304754, 194.0]","[604, 129]",380
1646,"[561.9475351629316, 341.07297622237, 140.0]","[572, 342]",381
1647,"[268.5210449761888, 64.41471496839512, 40.0]","[268, 54]",903
1648,"[335.8068583980138, 436.6055997184797, 276.0]","[328, 443]",455
1649,"[674.4256739577565, 422.6032915818374, 226.0]","[674, 433]",584
1650,"[238.14126194985587, 337.7240903749242, 342.0]","[229, 333]",1040
1651,"[403.2795431493796, 375.40239921278805, 118.0]","[413, 373]",116
1652,"[502.48342810156566, 492.2245929405211, 296.0]","[493, 496]",875
1653,"[357.12488907324496, 131.59916588753404, 122.0]","[367, 129]",96
1654,"[550.7361828592876, 380.22495715000537, 194.0]","[556, 389]",1068
1655,"[310.94492151189377, 393.60346628181765, 324.0]","[301, 392]",931
1656,"[420.0981605636392, 58.304384586704174, 148.0]","[430, 61]",855
1657,"[104.2429861475463, 209.81165861769264, 34.0]","[102, 200]",1182
1658,"[700.0092715899752, 418.71196173862126, 260.0]","[694, 427]",461
1659,"[472.192107523803, 382.5795916000627, 318.0]","[462, 382]",878
1660,"[559.7107276445842, 505.2720777404901, 298.0]","[550, 508]",832
1661,"[402.74077006345107, 99.77110159636487, 60.0]","[405, 90]",837
1662,"[151.11543639660616, 367.30772409075735, 42.0]","[151, 357]",428
1663,"[373.74713593150244, 471.0570668507464, 32.0]","[372, 461]",253
1664,"[594.2707144841477, 495.0057353925071, 272.0]","[587, 502]",625
