episode,robot_pos,target_pos,step
88,"[273.6303561878462, 445.47524437775536, 208.0]","[277, 455]",181
89,"[643.1546733554248, 479.76896220480296, 190.0]","[649, 488]",1346
90,"[536.9952223717265, 449.1255071342815, 254.0]","[532, 458]",544
91,"[687.6254198342011, 281.17818600124167, 194.0]","[693, 290]",842
92,"[56.56823124156553, 307.0207202179468, 32.0]","[54, 297]",1013
93,"[186.89676691717818, 234.10779054487404, 38.0]","[186, 224]",1308
94,"[192.76216834717192, 176.899163074978, 114.0]","[202, 173]",694
95,"[294.199357821825, 393.6625354550154, 268.0]","[287, 401]",697
96,"[650.1884301944281, 361.9172033723758, 216.0]","[652, 372]",1321
97,"[326.7379680849038, 307.7080317351241, 64.0]","[330, 298]",561
98,"[266.2590442752621, 61.987266832558376, 92.0]","[274, 55]",905
99,"[708.8339822090762, 300.7486652576546, 190.0]","[715, 309]",1216
100,"[580.1989408830798, 492.91000498210366, 226.0]","[580, 503]",414
101,"[296.4724339729625, 177.10648875030734, 90.0]","[304, 170]",688
102,"[529.9020975250094, 454.1567444273093, 206.0]","[533, 464]",770
103,"[416.8792615846724, 215.60488282922648, 186.0]","[423, 224]",744
104,"[275.2078034649979, 537.1166871201776, 304.0]","[265, 539]",599
105,"[629.9088447218705, 305.9863543084388, 204.0]","[633, 316]",853
106,"[254.06502117997442, 366.67391886720986, 144.0]","[264, 368]",469
107,"[669.4841128964672, 163.8319944122739, 156.0]","[679, 167]",929
108,"[91.96105845823845, 335.91896237967427, 346.0]","[83, 331]",1418
109,"[539.1827588454533, 311.1070109183743, 118.0]","[549, 308]",326
110,"[533.1107551517698, 337.5926988842874, 230.0]","[532, 348]",438
111,"[540.7334411047202, 538.6962434392906, 302.0]","[531, 541]",994
112,"[737.3433415179653, 437.2839507632088, 254.0]","[732, 446]",672
113,"[297.7290180226073, 70.87334401972944, 124.0]","[308, 69]",695
114,"[182.2016701535061, 524.8276383499184, 252.0]","[178, 534]",769
115,"[77.13879210486284, 168.39861038846672, 18.0]","[73, 159]",264
116,"[624.5007848681304, 191.18417851155536, 154.0]","[634, 195]",526
117,"[516.5844299508448, 534.4465932371327, 280.0]","[508, 540]",535
118,"[63.0094324890468, 541.8228530080977, 342.0]","[54, 537]",632
119,"[562.3667175454424, 210.67396823848878, 60.0]","[565, 201]",699
120,"[313.8765034389086, 469.3395607632797, 238.0]","[311, 479]",488
121,"[400.88360192042586, 53.87026272604102, 136.0]","[411, 54]",1349
122,"[366.0766611684487, 106.13595354908348, 120.0]","[376, 104]",1131
123,"[251.9273037331865, 384.54094725906987, 170.0]","[260, 391]",462
124,"[333.64531017353943, 462.14084181955144, 112.0]","[343, 458]",197
125,"[541.2376744399204, 516.2266509371883, 210.0]","[544, 526]",1058
126,"[63.87850119192934, 209.9073343405148, 286.0]","[55, 215]",234
127,"[298.95871425601626, 74.76029061250286, 30.0]","[296, 65]",112
128,"[266.87937623582167, 466.72737246434554, 258.0]","[261, 475]",424
129,"[400.78045721518646, 71.91570543859328, 140.0]","[411, 73]",993
130,"[619.0938009776678, 434.25694380997686, 242.0]","[616, 444]",760
131,"[690.3587108487415, 169.1207404598438, 156.0]","[700, 173]",1153
